ELMNTKEY,SHAPE_LAT,SHAPE_LNG
12685,47.6251666302009,-122.329580023756
12765,47.6055243997712,-122.33917580605
12769,47.6120377871972,-122.323648778268
12770,47.6117984658343,-122.32372777601
12869,47.6101648341557,-122.341634461868
12874,47.6105968902998,-122.340792114832
12878,47.6111376380822,-122.340082114816
12885,47.6166904401386,-122.333192716469
12886,47.6166159408067,-122.332992831233
12949,47.6107891090684,-122.323509931522
12950,47.6105859538355,-122.323081004301
12953,47.6119991282568,-122.324616590276
12954,47.6120939081871,-122.324474461264
12957,47.6127040059674,-122.325250537508
13045,47.6668696127548,-122.379715187575
13046,47.6669443310927,-122.379569807313
13057,47.6212784700974,-122.346382516568
13058,47.6212473926342,-122.346135420416
13061,47.6258558601044,-122.346352859626
13062,47.6258851591798,-122.346149849489
13082,47.6072227966749,-122.324627218147
13085,47.6091923947096,-122.326693615287
13093,47.6113971324874,-122.32866304812
13098,47.6167445081643,-122.334210489093
13101,47.6172669955809,-122.335328127724
13105,47.6204123730217,-122.337290451959
13109,47.62106681181,-122.33729733358
13110,47.6216770026078,-122.337036856066
13125,47.621013412853,-122.353382751206
13126,47.6208351256857,-122.353357811536
13129,47.6209773124241,-122.345687931457
13130,47.6208156392861,-122.345709460761
13134,47.6208030649583,-122.340720885371
13138,47.6207803106874,-122.334857150997
13142,47.6207536309905,-122.329743906882
13170,47.612155782393,-122.328590896405
13185,47.6080848946584,-122.335469526458
13189,47.608543725612,-122.334335580583
13190,47.608487140075,-122.333954822366
13197,47.6127041954682,-122.324352833291
13198,47.6125561658385,-122.324298283584
13209,47.655707377628,-122.313372963983
13210,47.6556885535966,-122.313170546137
13213,47.6587347954621,-122.313305731413
13214,47.658855300078,-122.313083412908
13261,47.6263302495401,-122.342944106455
13262,47.6261984451269,-122.342901040169
13293,47.6143709744933,-122.350990679757
13297,47.6182566158782,-122.34596355448
13298,47.6182033460922,-122.345684417759
13301,47.6115435819951,-122.34217544672
13302,47.6112724272279,-122.34220836984
13305,47.6134858589449,-122.339652480769
13306,47.6131763747086,-122.339751111422
13309,47.614041943013,-122.338933297698
13313,47.615571562461,-122.336939467995
13345,47.6151115824571,-122.348343779279
13346,47.6149524357444,-122.348280164298
13349,47.616455467146,-122.346640988332
13445,47.6193969937161,-122.354238238876
13509,47.6037496831881,-122.337042400072
13513,47.6068848455326,-122.339892113787
13517,47.6095492212024,-122.342612916972
13521,47.6130238481805,-122.348091646586
13526,47.6180675661851,-122.356250555188
13545,47.6144014287458,-122.337791419871
13546,47.6142878335068,-122.337497992281
13549,47.6203067254172,-122.338604059375
13550,47.6202933116596,-122.338324386605
13789,47.6193235907207,-122.330504847829
13790,47.6193650366761,-122.33032664856
13793,47.6202208779358,-122.330509497354
13794,47.620251466477,-122.330302860007
13798,47.6246451015786,-122.330461082861
13809,47.6018160817076,-122.335154362354
13810,47.6016628473701,-122.334968261827
14397,47.6119880181479,-122.319035057384
14398,47.6118431418934,-122.318926788376
14601,47.6305386049729,-122.327350632876
14674,47.6140195700931,-122.32403182116
14677,47.6141818644535,-122.317416731787
14678,47.6140116117358,-122.317454603721
14697,47.6153218687734,-122.322784016563
14698,47.6151517401511,-122.322745054665
14701,47.6153689344807,-122.313672780332
14702,47.6152178785536,-122.313752538865
14770,47.6230719118216,-122.320275979275
14949,47.6130510018937,-122.321220666293
14953,47.6130177688787,-122.31876112101
14954,47.6128585978889,-122.319148258264
16941,47.6583751837072,-122.312742989235
16942,47.6582441863065,-122.312795069446
16953,47.6599083932251,-122.317116805444
16954,47.6597783463842,-122.317245707034
17065,47.6631762721626,-122.315868465608
17066,47.6630336117978,-122.315599230307
17613,47.6798749990821,-122.324848836441
17614,47.6797474941947,-122.325116227851
17617,47.679963491563,-122.324121101043
17618,47.6798893462012,-122.323694321871
18166,47.6809007968221,-122.325575321376
18621,47.6695260197133,-122.383991842371
18622,47.6693677220907,-122.384240237137
19482,47.6685805931539,-122.378157984711
19485,47.6687674893019,-122.381054466087
19486,47.6685806143328,-122.380758889332
20185,47.5579238773543,-122.285526301462
20186,47.5577843598611,-122.285644248268
20833,47.5983746856986,-122.334591370963
20834,47.5982079898764,-122.334887375639
20837,47.5983737501709,-122.332289669226
20838,47.598209223109,-122.33226591789
20845,47.5984274392994,-122.323204995379
20846,47.5982746317387,-122.323411718333
21765,47.600950444085,-122.334910140839
21766,47.6007969457492,-122.334922962347
21773,47.600955909427,-122.329714140881
23622,47.6220639222683,-122.359607166355
23781,47.6246753014235,-122.357234353824
23782,47.6244961661121,-122.357745404562
23873,47.6233495612434,-122.357139917328
23874,47.6232069350798,-122.357120786196
23877,47.623353085204,-122.359788602107
23878,47.6232253733109,-122.36011718355
23881,47.6257874704683,-122.3573477391
23937,47.621008969365,-122.358765253278
23938,47.6208878014911,-122.358600017022
24033,47.6057833069047,-122.33737737046
24034,47.6056909671162,-122.337006718833
24037,47.6129448901603,-122.345976365058
24038,47.6130658688106,-122.345792951232
24041,47.6137495121945,-122.347350657312
24042,47.6139737003612,-122.347329745184
24045,47.6148751281382,-122.349240332789
24046,47.6150664210584,-122.349175829896
24050,47.6182542889008,-122.35458076156
24058,47.6195077065641,-122.355344189797
